,ea_id,com_roadtype,com_vehicles,com_bus,com_urbancenter,com_dailymrkt,com_weeklymrkt,com_postoffice,com_publicphone,com_distprimary,com_classrooms,com_schoolelec,com_medicines,com_clinic,com_distclinic,com_bank
182,20205207,TAR/ASPHALT,YES,Yes,No,No,Yes,Yes,NO,Under 2 kilometers,No,No,Yes,Yes,,No
183,20205484,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
184,20205525,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,,Yes,No,Yes,No,16 to 20 kilometers,No
185,20205634,TAR/ASPHALT,YES,Yes,No,Yes,No,No,NO,Under 2 kilometers,No,No,Yes,No,0 to 5 kilometes,No
186,20205700,DIRT ROAD (MAINTAINED),NO,No,No,Yes,No,No,NO,3 to 5 kilometers,No,No,Yes,Yes,,No
187,20205721,DIRT ROAD (MAINTAINED),YES,No,No,Yes,Yes,No,YES,Under 2 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
188,20206243,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,Under 2 kilometers,No,No,Yes,No,6 to 10 kilometers,No
189,20206362,DIRT ROAD (MAINTAINED),YES,Yes,No,Yes,Yes,Yes,YES,Under 2 kilometers,Yes,No,Yes,Yes,,No
190,20220038,TAR/ASPHALT,YES,Yes,No,Yes,Yes,Yes,YES,Under 2 kilometers,Yes,Yes,Yes,Yes,,Yes
191,20220153,TAR/ASPHALT,YES,Yes,No,Yes,No,Yes,YES,Under 2 kilometers,Yes,No,Yes,Yes,,Yes
192,20301075,DIRT ROAD (MAINTAINED),YES,Yes,No,No,Yes,No,NO,,Yes,No,Yes,Yes,,No
193,20302432,DIRT ROAD (MAINTAINED),YES,Yes,No,Yes,Yes,No,YES,,Yes,No,Yes,Yes,,No
194,20302539,DIRT ROAD (MAINTAINED),YES,Yes,No,No,No,Yes,NO,Under 2 kilometers,No,No,Yes,Yes,,No
195,20302592,DIRT ROAD (MAINTAINED),NO,Yes,No,No,No,No,YES,Under 2 kilometers,No,No,Yes,No,0 to 5 kilometes,No
